milk_type,age,pH1,pH2,pH3,pH4
whole,0,6.6,6.51,6.6,6.68
whole,1,6.84,6.76,6.78,6.68
whole,4,4.01,,4.26,5.11
whole,8,4.6,,4.89,4.34
chocolate,0,6.06,6.06,6.71,6.64
chocolate,1,6.55,6.55,6.12,6.56
chocolate,4,5.76,5.85,5.91,6.14
chocolate,8,4.39,4.63,5.62,4.63
oat,0,7.3,7.25,7.7,7.68
oat,1,7.7,7.78,7.72,7.7
oat,4,7.55,7.43,7.21,7.76
oat,8,6.93,6.87,6.92,6.95
buttermilk,0,4.40,4.37,4.25,4.41
buttermilk,1,4.35,4.38,4.25,4.43
buttermilk,4,4.26,4.38,4.24,4.44
buttermilk,8,4.19,4.37,4.24,4.45
